iter	Passed	Remaining
310	16018	35488
311	16089	35478
312	16154	35458
313	16209	35413
314	16263	35366
315	16317	35319
316	16363	35256
317	16403	35179
318	16444	35104
319	16483	35027
320	16524	34953
321	16564	34877
322	16605	34803
323	16645	34730
324	16687	34658
325	16727	34584
326	16768	34512
327	16806	34432
328	16855	34377
329	16895	34302
330	16937	34233
331	16979	34163
332	17020	34092
333	17060	34018
334	17100	33944
335	17143	33877
336	17181	33801
337	17221	33729
338	17260	33655
339	17300	33583
340	17339	33510
341	17385	33449
342	17425	33378
343	17466	33308
344	17507	33238
345	17547	33167
346	17586	33094
347	17627	33026
348	17668	32956
349	17707	32885
350	17748	32817
351	17788	32746
352	17827	32674
353	17875	32620
354	17916	32553
355	17958	32486
356	18000	32420
357	18043	32357
358	18094	32308
359	18137	32243
360	18179	32178
361	18220	32111
362	18262	32047
363	18305	31984
364	18343	31913
365	18385	31847
366	18428	31784
367	18473	31725
368	18519	31668
369	18564	31609
370	18609	31550
371	18652	31487
372	18693	31422
373	18740	31368
374	18780	31300
375	18819	31233
376	18861	31168
377	18900	31101
378	18948	31048
379	18990	30984
380	19038	30931
381	19082	30870
382	19122	30806
383	19166	30746
384	19210	30686
385	19255	30629
386	19296	30565
387	19338	30502
388	19382	30444
389	19433	30396
390	19475	30334
391	19517	30272
392	19558	30208
393	19598	30143
394	19642	30086
395	19686	30026
396	19729	29967
397	19771	29904
398	19812	29842
399	19856	29784
400	19898	29723
